convolution_width,dropout_rate,starting_filter_cnt,epoch,accuracy,average_precision,average_recall,average_f1
3.0,0.1,16.0,36,0.20689655172413793,0.03409090909090909,0.05454545454545454,0.04195804195804196
3.0,0.3,16.0,25,0.1724137931034483,0.03787878787878788,0.041666666666666664,0.03968253968253968
3.0,0.5,16.0,40,0.1724137931034483,0.03787878787878788,0.041666666666666664,0.03968253968253968
5.0,0.1,16.0,20,0.1724137931034483,0.03787878787878788,0.041666666666666664,0.03968253968253968
5.0,0.3,16.0,30,0.20689655172413793,0.027777777777777776,0.049999999999999996,0.03571428571428571
5.0,0.5,16.0,73,0.1724137931034483,0.03787878787878788,0.041666666666666664,0.03968253968253968
7.0,0.1,16.0,20,0.2413793103448276,0.0992063492063492,0.20833333333333334,0.13194444444444445
7.0,0.3,16.0,57,0.20689655172413793,0.15555555555555553,0.14444444444444446,0.1111111111111111
7.0,0.5,16.0,44,0.2413793103448276,0.03888888888888889,0.05833333333333333,0.04666666666666667
3.0,0.1,32.0,26,0.06896551724137931,0.021645021645021644,0.05454545454545454,0.022727272727272728
3.0,0.3,32.0,23,0.10344827586206896,0.024999999999999998,0.024999999999999998,0.024999999999999998
3.0,0.5,32.0,33,0.2413793103448276,0.13541666666666666,0.15277777777777776,0.13518518518518519
5.0,0.1,32.0,24,0.1724137931034483,0.04722222222222222,0.11666666666666665,0.05714285714285714
5.0,0.3,32.0,25,0.034482758620689655,0.018181818181818184,0.045454545454545456,0.025974025974025972
5.0,0.5,32.0,41,0.1724137931034483,0.041666666666666664,0.041666666666666664,0.041666666666666664
7.0,0.1,32.0,26,0.06896551724137931,0.006269592476489028,0.09090909090909091,0.011730205278592375
7.0,0.3,32.0,54,0.20689655172413793,0.10101010101010101,0.09696969696969697,0.09888357256778307
7.0,0.5,32.0,49,0.034482758620689655,0.003134796238244514,0.09090909090909091,0.006060606060606061
